Funds,FundManager,Category,RupeeVestRating,AUM,ExpenseRatio,FundType,InceptionDate,BenchmarkIndex, NAV , 52WeekHigh, 52WeekLow,Return1mo,Return3mo,Return6mo,Return1yr,Return2yrs,Return3yrs,Return5yrs,Return10yrs,TurnoverRatio, NoofStocks,AvgMarketCap,LargeCap,MidCap,SmallCap,HighestSector,AvgMaturity,ModDuration,YieldToMaturity,Alpha,Sharpe,Sortino,Beta,StandardDeviation,classification,ExitloadRemarks
Aditya Birla SL FTP-QX-1103D-Reg(G),Mohit Sharma,DT-FMP,Unrated,65.3,-,Closed Ended,24-Aug-18,Crisil Composite Bond Fund Index,12.18,12.18,11.46,0.33,0.83,1.75,6.41,7.2,-,-,-,0,-,-,-,-,-,-,2.17,-,-,3.53,6.17,15.95,-,0.57,Debt : FTP/FMP,null
Aditya Birla SL FTP-QY-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,71,-,Closed Ended,29-Aug-18,Crisil Composite Bond Fund Index,12.13,12.13,11.46,0.34,0.83,1.74,5.96,7.01,-,-,-,0,-,-,-,-,-,-,2.11,-,-,3.12,6.29,17.03,-,0.49,Debt : FTP/FMP,null
Aditya Birla SL FTP-RA-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,261.4,-,Closed Ended,11-Sep-18,Crisil Composite Bond Fund Index,12.16,12.16,11.5,0.33,0.81,1.69,5.84,7.1,-,-,-,0,-,-,-,-,-,-,2.06,-,-,2.97,5.62,15.28,-,0.53,Debt : FTP/FMP,null
Aditya Birla SL FTP-RC-1295D-Reg(G),Mohit Sharma,DT-FMP,Unrated,441.1,-,Closed Ended,18-Sep-18,Crisil Composite Bond Fund Index,12.49,12.49,11.6,0.51,0.83,2.1,7.81,8.29,-,-,-,0,-,-,-,-,-,-,2.28,-,-,4.81,5.75,12.83,-,0.84,Debt : FTP/FMP,null
Aditya Birla SL FTP-RD-1293D-Reg(G),Mohit Sharma,DT-FMP,Unrated,25.4,-,Closed Ended,24-Sep-18,Crisil Composite Bond Fund Index,12.48,12.48,11.57,0.54,0.89,2.1,8.02,8.39,-,-,-,-,-,-,-,-,-,-,-,-,-,5.01,5.42,11.5,-,0.93,Debt : FTP/FMP,null
Aditya Birla SL FTP-RE-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,103.2,-,Closed Ended,26-Sep-18,Crisil Composite Bond Fund Index,12.15,12.15,11.34,0.38,1,2.18,7.17,7.13,-,-,-,-,-,-,-,-,-,-,-,-,-,4.21,5.68,11.95,-,0.74,Debt : FTP/FMP,null
Aditya Birla SL FTP-RH-1281D-Reg(G),Mohit Sharma,DT-FMP,Unrated,121.4,-,Closed Ended,16-Oct-18,Crisil Composite Bond Fund Index,12.42,12.42,11.53,0.59,0.87,2.11,7.82,8.29,-,-,-,-,-,-,-,-,-,-,-,-,-,4.81,5.81,13.2,-,0.83,Debt : FTP/FMP,null
Aditya Birla SL FTP-RI-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,115.9,-,Closed Ended,30-Oct-18,Crisil Composite Bond Fund Index,12.11,12.11,11.37,0.36,0.81,1.77,6.64,7.29,-,-,-,-,-,-,-,-,-,-,-,-,-,3.73,5.95,14.54,-,0.63,Debt : FTP/FMP,null
Aditya Birla SL FTP-RL-1254D-Reg(G),Mohit Sharma,DT-FMP,Unrated,70.6,-,Closed Ended,30-Oct-18,Crisil Composite Bond Fund Index,12.39,12.39,11.51,0.55,0.84,2.06,7.75,8.3,-,-,-,-,-,-,-,-,-,-,-,-,-,4.74,5.36,11.25,-,0.89,Debt : FTP/FMP,null
Aditya Birla SL FTP-RN-1240D-Reg(G),Mohit Sharma,DT-FMP,Unrated,586.7,-,Closed Ended,14-Nov-18,Crisil Composite Bond Fund Index,12.38,12.38,11.45,0.59,0.87,2.18,8.32,8.52,-,-,-,-,-,-,-,-,-,-,-,-,-,5.27,5.41,11.4,-,0.98,Debt : FTP/FMP,null
Aditya Birla SL FTP-RO-1241D-Reg(G),Mohit Sharma,DT-FMP,Unrated,26.4,-,Closed Ended,20-Nov-18,Crisil Composite Bond Fund Index,12.38,12.38,11.41,0.61,0.96,2.28,8.64,8.73,-,-,-,-,-,-,-,-,-,-,-,-,-,5.57,5.26,10.6,-,1.07,Debt : FTP/FMP,null
Aditya Birla SL FTP-RP-1239D-Reg(G),Mohit Sharma,DT-FMP,Unrated,694.8,-,Closed Ended,27-Nov-18,Crisil Composite Bond Fund Index,12.55,12.55,11.47,0.68,0.96,2.36,9.47,9.36,-,-,-,-,-,-,-,-,-,-,-,-,-,6.38,5.56,11.82,-,1.16,Debt : FTP/FMP,null
Aditya Birla SL FTP-RQ-1103D-Reg(G),Mohit Sharma,DT-FMP,Unrated,68.5,-,Closed Ended,30-Nov-18,Crisil Composite Bond Fund Index,11.93,11.93,11.21,0.37,0.82,1.78,6.47,7.32,-,-,-,-,-,-,-,-,-,-,-,-,-,3.55,5.43,13.23,-,0.66,Debt : FTP/FMP,null
Aditya Birla SL FTP-RR-1240D-Reg(G),Mohit Sharma,DT-FMP,Unrated,51.9,-,Closed Ended,6-Dec-18,Crisil Composite Bond Fund Index,12.38,12.38,11.36,0.64,0.96,2.35,9.16,9.03,-,-,-,-,-,-,-,-,-,-,-,-,-,6.05,5.44,11.11,-,1.12,Debt : FTP/FMP,null
Aditya Birla SL FTP-RU-1225D-Reg(G),Mohit Sharma,DT-FMP,Unrated,24.8,-,Closed Ended,19-Dec-18,Crisil Composite Bond Fund Index,12.35,12.35,11.33,0.63,0.91,2.26,9.06,9.03,-,-,-,-,-,-,-,-,-,-,-,-,-,5.97,5.53,11.52,-,1.09,Debt : FTP/FMP,null
Aditya Birla SL FTP-RV-1224D-Reg(G),Mohit Sharma,DT-FMP,Unrated,37.5,-,Closed Ended,20-Dec-18,Crisil Composite Bond Fund Index,12.33,12.33,11.32,0.62,0.9,2.24,9.01,8.99,-,-,-,-,-,-,-,-,-,-,-,-,-,5.92,5.43,11.29,-,1.1,Debt : FTP/FMP,null
Aditya Birla SL FTP-RW-1202D-Reg(G),Mohit Sharma,DT-FMP,Unrated,29.6,-,Closed Ended,27-Dec-18,Crisil Composite Bond Fund Index,12.33,12.33,11.31,0.66,0.94,2.3,9.19,9.12,-,-,-,-,-,-,-,-,-,-,-,-,-,6.07,5.71,11.82,-,1.07,Debt : FTP/FMP,null
Aditya Birla SL FTP-RX-1200D-Reg(G),Mohit Sharma,DT-FMP,Unrated,30.5,-,Closed Ended,8-Jan-19,Crisil Composite Bond Fund Index,12.04,12.04,10.93,0.77,1.4,3.14,9.9,8.26,-,-,-,-,-,-,-,-,-,-,-,-,-,6.75,6.22,11.01,-,1.09,Debt : FTP/FMP,null
Aditya Birla SL FTP-RY-1199D-Reg(G),Mohit Sharma,DT-FMP,Unrated,25.4,-,Closed Ended,3-Jan-19,Crisil Composite Bond Fund Index,12.3,12.3,11.28,0.66,0.95,2.31,9.19,9.11,-,-,-,-,-,-,-,-,-,-,-,-,-,6.07,5.74,11.88,-,1.07,Debt : FTP/FMP,null
Aditya Birla SL FTP-SA-1180D-Reg(G),Mohit Sharma,DT-FMP,Unrated,56.9,-,Closed Ended,18-Jan-19,Crisil Composite Bond Fund Index,12.17,12.17,11.22,0.67,0.94,2.22,8.54,8.81,-,-,-,-,-,-,-,-,-,-,-,-,-,5.49,5.48,11.85,-,1.01,Debt : FTP/FMP,null
Aditya Birla SL FTP-SF-1161D-Reg(G),Mohit Sharma,DT-FMP,Unrated,49,-,Closed Ended,14-Feb-19,Crisil Composite Bond Fund Index,12.13,12.13,11.12,0.59,0.89,2.23,9.25,9.04,-,-,-,-,-,-,-,-,-,-,-,-,-,6.15,5.61,11.65,-,1.11,Debt : FTP/FMP,null
Aditya Birla SL FTP-SG-1155D-Reg(G),Mohit Sharma,DT-FMP,Unrated,243.5,-,Closed Ended,21-Feb-19,Crisil Composite Bond Fund Index,12.13,12.13,11.13,0.68,0.89,2.27,9.04,9.08,-,-,-,-,-,-,-,-,-,-,-,-,-,5.97,5.42,11.2,-,1.11,Debt : FTP/FMP,null
Aditya Birla SL FTP-SI-1141D-Reg(G),Mohit Sharma,DT-FMP,Unrated,123.3,-,Closed Ended,6-Mar-19,Crisil Composite Bond Fund Index,12.09,12.09,11.08,0.6,0.9,2.25,9.3,9.2,-,-,-,-,-,-,-,-,-,-,-,-,-,6.22,5.41,10.79,-,1.16,Debt : FTP/FMP,null
Aditya Birla SL FTP-SJ-1135D-Reg(G),Mohit Sharma,DT-FMP,Unrated,364.8,-,Closed Ended,13-Mar-19,Crisil Composite Bond Fund Index,12.06,12.06,11.05,0.64,0.92,2.29,9.35,9.29,-,-,-,-,-,-,-,-,-,-,-,-,-,6.27,5.43,10.97,-,1.17,Debt : FTP/FMP,null
Aditya Birla SL FTP-SK-1128D-Reg(G),Mohit Sharma,DT-FMP,Unrated,36.9,-,Closed Ended,20-Mar-19,Crisil Composite Bond Fund Index,11.97,11.97,10.97,0.57,0.89,2.24,9.27,9.13,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,5.49,10.67,-,1.14,Debt : FTP/FMP,null
Aditya Birla SL FTP-SL-1120D-Reg(G),Mohit Sharma,DT-FMP,Unrated,171.4,-,Closed Ended,27-Mar-19,Crisil Composite Bond Fund Index,11.96,11.96,10.98,0.66,0.98,2.31,9.11,9.15,-,-,-,-,-,-,-,-,-,-,-,-,-,5.97,5.56,11.26,-,1.08,Debt : FTP/FMP,null
Aditya Birla SL FTP-SN-1099D-Reg(G),Mohit Sharma,DT-FMP,Unrated,60.3,-,Closed Ended,7-May-19,Crisil Composite Bond Fund Index,11.94,11.94,10.94,0.6,0.87,2.21,9.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.25,5.38,10.28,-,1.17,Debt : FTP/FMP,null
Aditya Birla SL FTP-SO-1099D-Reg(G),Mohit Sharma,DT-FMP,Unrated,24.4,-,Closed Ended,21-May-19,Crisil Composite Bond Fund Index,11.7,11.7,10.76,0.6,0.88,2.18,8.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.8,5.28,10.83,-,1.11,Debt : FTP/FMP,null
Aditya Birla SL FTP-TB-1125D-Reg(G),Mohit Sharma,DT-FMP,Unrated,-,-,Closed Ended,-,Crisil Composite Bond Fund Index,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : FTP/FMP,null
Aditya Birla SL FTP-TC-1119D-Reg(G),Mohit Sharma,DT-FMP,Unrated,-,-,Closed Ended,-,Crisil Composite Bond Fund Index,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : FTP/FMP,null
Aditya Birla SL FTP-TD-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,-,-,Closed Ended,-,Crisil Composite Bond Fund Index,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : FTP/FMP,null
Aditya Birla SL FTP-TE-1095D-Reg(G),Mohit Sharma,DT-FMP,Unrated,-,-,Closed Ended,-,Crisil Composite Bond Fund Index,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : FTP/FMP,null
Aditya Birla SL FTP-TF-1098D-Reg(G),Mohit Sharma,DT-FMP,Unrated,-,-,Closed Ended,-,Crisil Composite Bond Fund Index,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : FTP/FMP,null
Aditya Birla SL G-Sec Fund(G),Bhupesh Bameta,DT-GILT,4,517.7,1.17,Open Ended,11-Oct-99,Nifty All Duration G-Sec Index,63.42,63.92,58.44,1.99,-0.37,0.96,9.55,10.56,9.6,8.96,9.76,0,-,-,-,-,-,-,5.88,4.54,6.43,6.9,1.91,3.49,-,3.6,Debt : Gilt,Nil
Aditya Birla SL Income Fund(G),Bhupesh Bameta,DT-M&LD,4,1222.4,1,Open Ended,21-Oct-95,Crisil Composite Bond Fund Index,98.21,98.37,88.16,2.23,0.03,2.34,12.01,10.12,8.97,7.97,8.33,0,-,-,-,-,-,-,6.9,4.92,6.52,8.82,2.68,5.16,-,3.31,Debt : Medium to Long Duration,Nil
Aditya Birla SL Index Fund-Reg(G),Ajay Garg,EQ-INDX,Unrated,239.4,0.6,Open Ended,18-Sep-02,NIFTY 50 - TRI,142.76,150.72,87.19,-3.55,-0.43,21.5,60.67,11.2,11.7,13.11,9.32,151,50,350706,99.43,-,-,Financials,-,-,-,4.21,2.6,4.29,0.96,20.08,Equity : Index Funds,Nil
Aditya Birla SL India GenNext Fund(G),Chanchal Khandelwal,EQ-CONS,4,1937,2.2,Open Ended,5-Aug-05,S&P BSE 500 - TRI,108.92,114.84,69.4,-3.15,-0.29,25.93,51.11,14.13,11.24,15.37,16.01,45,71,73990,65.63,27.27,6.54,Financials,-,-,-,5.59,2.51,4.03,0.79,18.04,Equity : Thematic - Consumption,1% on or before 90D Nil after 90D
Aditya Birla SL Infrastructure Fund(G),Vineet Maloo,EQ-INFRA,2,474.5,2.51,Open Ended,17-Mar-06,NIFTY INFRA - TRI,38.83,41.42,20.9,-4.55,9.94,51.5,79.6,8.58,2.17,10.18,8.7,46,36,17867,27.9,22.4,46.84,Infrastructure,-,-,-,27.75,2.98,5.14,0.82,23.02,Equity : Sectoral - Infrastructure,1% on or before 30D Nil after 30D
Aditya Birla SL Intl. Equity Fund-A(G),Vineet Maloo,EQ-INTL,Unrated,110.4,2.5,Open Ended,31-Oct-07,S&P Global 1200,29.93,29.93,21.16,7.82,8.94,17.99,40.35,19.42,17.22,13.63,11.63,105,70,-,-,-,-,-,-,-,-,26.46,2.17,3.51,0.16,15.95,Equity : International,1% on or before 90D Nil after 90D
Aditya Birla SL Intl. Equity Fund-B(G),Vineet Maloo,EQ-INTL,Unrated,93.7,2.6,Open Ended,31-Oct-07,S&P BSE 200,23.89,24.36,14.25,-0.17,4.85,29.39,65.1,12.72,9.18,11.81,9.22,53,113,24555,29.86,8.55,28.78,Financials,-,-,-,20.08,3.33,5.58,0.69,16.38,Equity : International,1% on or before 90D Nil after 90D
Aditya Birla SL Inv Inc-QS I-Reg(G),Prasad Dhonde,DT-FMP,Unrated,0.7,-,Interval,30-Aug-07,Crisil Liquid Fund Index,26.21,26.21,25.48,0.24,0.68,1.35,2.92,4.07,5.16,5.76,7.34,0,-,-,-,-,-,-,0.11,-,-,0.18,1.27,3.27,-,0.14,Debt : FTP/FMP,Nil
Aditya Birla SL Liquid Fund(G),Kaustubh Gupta,DT-LIQ,2,27433.3,0.33,Open Ended,30-Mar-04,Crisil Liquid Fund Index,329.7,329.7,318.37,0.29,0.79,1.53,3.57,4.86,5.72,6.23,7.66,0,-,-,-,-,-,-,0.12,0.12,3.39,-0.33,-5.3,-5.02,-,0.06,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D
Aditya Birla SL Low Duration Fund(G),Kaustubh Gupta,DT-LOWD,4,16377.7,1.07,Open Ended,14-May-98,NIFTY Low Duration Debt Index,516.65,516.65,482.98,0.56,0.76,1.96,7.02,7.1,7.26,7.22,8,0,-,-,-,-,-,-,1.01,0.89,4.55,4.08,5.11,9.97,-,0.81,Debt : Low Duration,Nil
Aditya Birla SL Medium Term Plan-Reg(G),Sunaina da Cunha,DT-MD,2,1793.2,1.31,Open Ended,25-Mar-09,CRISIL Medium Term Debt Index,24.25,24.25,20.65,0.86,2.56,4.19,13.2,3.17,3.23,5.22,7.87,0,1,-,-,-,-,-,3.84,2.96,6.51,10.33,1.3,1.76,-,8,Debt : Medium Duration,Nil upto 15% of units For remaining units 2% on or before 1Y 1 % after 1Y but on or before 2Y Nil after 2Y
Aditya Birla SL Mfg. Equity Fund-Reg(G),Anil Shah,EQ-CONS,3,595.8,2.53,Open Ended,3-Feb-15,S&P BSE 500 - TRI,16.87,17.28,10.79,0.3,0.24,21.37,53.09,13.3,5.39,11.56,-,21,38,46891,42.6,29.25,14.77,FMCG,-,-,-,17.72,2.99,4.7,0.58,15.55,Equity : Thematic - Consumption,1% on or before 365D Nil after 365D
Aditya Birla SL Midcap Fund(G),Anil Shah,EQ-MID,1,2697.2,2,Open Ended,3-Oct-02,Nifty Midcap 100 - TRI,347.44,361.7,197.47,-3.04,4.3,30.78,72.03,9.39,3.36,10.48,12.27,32,67,21926,15.79,63.93,18.21,Financials,-,-,-,26.18,3.31,5.36,0.64,17.62,Equity : Mid Cap,1% on or before 365D Nil after 365D
Aditya Birla SL MNC Fund-Reg(G),Ajay Garg,EQ-MNC,Unrated,4093.4,1.93,Open Ended,27-Dec-99,NIFTY MNC - TRI,898.89,935.24,647.09,-3.27,0,17.05,34.81,6.83,6.03,9.54,15.56,5,38,31842,24.31,60.4,14.49,Healthcare,-,-,-,7.59,2.31,4.01,0.51,14.23,Equity : Thematic - MNC,1% on or before 1Y Nil after 1Y
Aditya Birla SL Money Manager Fund(G),Kaustubh Gupta,DT-MM,4,11383.1,0.3,Open Ended,13-Oct-05,Nifty Money Market Index,285.29,285.29,269.55,0.41,0.95,1.94,5.88,6.61,7.19,7.14,8.14,0,-,-,-,-,-,-,0.49,0.48,4.01,3,5.75,12.63,-,0.52,Debt : Money Market,Nil
Aditya Birla SL Nifty ETF,Satyabrata Mohanty,EQ-ETF,Unrated,333.6,-,Open Ended,21-Jul-11,NIFTY 50,159.64,168.28,96.32,-3.46,-0.18,22.04,62.55,11.97,12.5,14.24,-,1,50,350088,99.96,-,-,Financials,-,-,-,4.71,2.63,4.32,0.97,20.3,Equity : ETFs,Nil
Aditya Birla SL Nifty Midcap 150 Index Fund-Reg(G),Lovelish Solanki,EQ-INDX,Unrated,-,-,Open Ended,5-Apr-21,Nifty Midcap 150 - TRI,9.85,10.24,9.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity : Index Funds,0.50% on or before 90D Nil after 90D
Aditya Birla SL Nifty Next 50 ETF,Lovelish Solanki,EQ-ETF,Unrated,85.5,-,Open Ended,18-Dec-18,NIFTY NEXT 50,344.71,362.08,226.78,-2.17,-0.24,25.48,49.13,10.03,-,-,-,-,50,60455,92.02,7.7,-,FMCG,-,-,-,12.73,2.61,4.15,0.67,17.68,Equity : ETFs,null
Aditya Birla SL Nifty Smallcap 50 Index Fund-Reg(G),Lovelish Solanki,EQ-INDX,Unrated,-,-,Open Ended,5-Apr-21,Nifty Smallcap 50 - TRI,9.93,10.38,9.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity : Index Funds,0.50% on or before 90D Nil after 90D
Aditya Birla SL Overnight Fund-Reg(G),Kaustubh Gupta,DT-ON,Unrated,7290,0.2,Open Ended,1-Nov-18,CRISIL Overnight Index,1110.89,1110.89,1079.26,0.26,0.74,1.45,2.94,3.95,-,-,-,0,-,-,-,-,-,-,-,-,3.39,-0.76,-72.47,-13.15,-,0.01,Debt : Overnight,Nil
Aditya Birla SL Pharma & Healthcare Fund-Reg(G),Dhaval Shah,EQ-PHRM,Unrated,454.9,2.57,Open Ended,10-Jul-19,S&P BSE Health Care - TRI,16.78,17.07,11.9,5.2,0.06,9.46,40.18,-,-,-,-,48,25,43484,67.4,22.78,7.63,Healthcare,-,-,-,23.44,2.14,3.71,0.32,18.39,Equity : Sectoral - Pharma,1% on or before 30D Nil after 30D
Aditya Birla SL PSU Equity Fund-Reg(G),Mahesh Patil,EQ-THEM,Unrated,596.8,2.66,Open Ended,30-Dec-19,S&P BSE PSU - TRI,10.88,12.01,7.11,-6.61,2.64,38.25,40.75,-,-,-,-,49,33,54860,53.46,33.81,8.19,Energy,-,-,-,0.45,1.77,2.87,0.82,23.44,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Pure Value Fund(G),Milind Bafna,EQ-VAL,1,4049.2,1.93,Open Ended,27-Mar-08,S&P BSE Enhanced Value Index,59.69,61.7,34.48,-1.05,4.64,31.99,70.22,6.51,-1.82,8.98,13.36,155,71,27805,39.38,30.47,27.32,Financials,-,-,-,23.39,3.08,4.84,0.72,19.26,Equity : Value / Contra,1% on or before 365D Nil after 365D
Aditya Birla SL Regular Savings Fund(G),Satyabrata Mohanty,HY-DT(CO),2,1202.2,2.01,Open Ended,22-May-04,CRISIL Hybrid 85+15 - Conservative Index,46.09,46.51,35.89,-0.49,1.7,12.95,28.06,8.79,6.05,8.69,9.86,0,47,105352,16.04,6.15,2.29,Financials,3.91,2.79,6.17,24.47,4.53,8.34,-,5.43,Hybrid : Debt Oriented (Conservative),Nil upto 15% of units1% in excess of limit on or before 365D and Nil after 365D
Aditya Birla SL Resurgent India Fund-4-Reg(G),Chanchal Khandelwal,EQ-MLC,Unrated,297.1,-,Closed Ended,12-Jul-17,S&P BSE 200,11.21,11.27,7.79,4.09,19.13,25.96,16.29,7.31,1.56,-,-,6,46,84485,52.16,19.92,4.86,Financials,-,-,-,3.93,0.78,1.09,0.47,17.97,Equity : Multi Cap,null
Aditya Birla SL Resurgent India Fund-5-Reg(G),Chanchal Khandelwal,EQ-MLC,Unrated,331.2,-,Closed Ended,9-Oct-17,S&P BSE 200,12.1,12.69,7.77,-3.59,5.68,29.55,56.94,12.08,6.03,-,-,5,21,182569,37.33,6.13,1.72,Financials,-,-,-,10.36,2.73,4.46,0.59,16.25,Equity : Multi Cap,null
Aditya Birla SL Resurgent India Fund-6-Reg(G),Satyabrata Mohanty,EQ-MLC,Unrated,576.2,-,Closed Ended,12-Mar-18,S&P BSE 500,9.05,9.48,5.95,-2.06,3.08,28.37,51.59,-1,-4.95,-,-,4,44,22387,27.09,37.08,27.39,Financials,-,-,-,12.9,2.47,3.88,0.71,19.72,Equity : Multi Cap,null
Aditya Birla SL Resurgent India Fund-7-Reg(G),Satyabrata Mohanty,EQ-MLC,Unrated,119,-,Closed Ended,6-Apr-18,S&P BSE 500,9.56,9.94,5.92,1.7,6.34,37.16,60.67,5.87,-1.52,-,-,33,36,19461,24.8,34.85,32.54,Financials,-,-,-,14.84,2.52,4.13,0.76,20.97,Equity : Multi Cap,null
Aditya Birla SL Retirement Fund-30-Reg(G),Ajay Garg,HY-SOL,Unrated,196.1,2.51,Open Ended,11-Mar-19,S&P BSE 200,12.04,12.76,8.27,-4.99,-0.9,16.75,43.72,7.5,-,-,-,14,40,35854,42.18,41.01,10.8,Financials,-,-,-,39.01,2.39,4.1,-,16.61,Hybrid : Solution Oriented,Nil
Aditya Birla SL Retirement Fund-40-Reg(G),Ajay Garg,HY-SOL,Unrated,85.4,2.52,Open Ended,11-Mar-19,CRISIL Hybrid 35+65 - Aggressive Index,12.03,12.57,8.83,-3.78,-0.58,13.75,35.56,7.96,-,-,-,0,40,35844,33.48,30.32,8.26,Financials,2.36,1.9,4.9,31.73,2.49,4.3,-,12.96,Hybrid : Solution Oriented,Nil
Aditya Birla SL Retirement Fund-50 Plus-Debt Plan-Reg(G),Ajay Garg,HY-SOL,Unrated,59.7,2.07,Open Ended,11-Mar-19,Crisil Short Term Bond Fund Index,11.02,11.13,10.58,1.25,-0.52,0.33,4.58,4.84,-,-,-,0,-,-,-,-,-,-,4.25,3.36,5.78,1.86,0.93,1.55,-,2,Hybrid : Solution Oriented,Nil
Aditya Birla SL Retirement Fund-50-Reg(G),Ajay Garg,HY-SOL,Unrated,33.6,1.8,Open Ended,11-Mar-19,CRISIL Short Term Debt Hybrid 75+25 Fund Index,11.25,11.32,10.68,0.84,-0.19,0.51,6.06,5.85,-,-,-,0,-,-,-,-,-,-,5.26,4.05,5.77,3.3,1.8,3.43,-,1.85,Hybrid : Solution Oriented,Nil
Aditya Birla SL Savings Fund-Reg(G),Kaustubh Gupta,DT-USD,5,16098.3,0.51,Open Ended,16-Apr-03,CRISIL Ultra Short Term Debt Index,423.3,423.3,397.41,0.48,0.91,2.04,6.58,6.93,7.28,7.52,8.5,0,-,-,-,-,-,-,0.59,0.53,4.27,3.7,6.9,14.01,-,0.54,Debt : Ultra Short Duration,Nil
Aditya Birla SL Sensex ETF,Lovelish Solanki,EQ-ETF,Unrated,9.6,-,Open Ended,18-Jul-16,S&P BSE SENSEX,459.79,493.46,282.49,-4.43,-1.76,19.86,59.38,12.36,10.82,-,-,6,30,429364,99.87,-,-,Financials,-,-,-,1.46,2.47,4.09,0.99,20.7,Equity : ETFs,null
Aditya Birla SL Short Term Fund(G),Kaustubh Gupta,DT-SD,3,6856.4,1.11,Open Ended,9-May-03,Crisil Short Term Bond Fund Index,36.68,36.68,33.07,0.95,0.51,2.27,11.25,8.88,8.25,7.97,9.11,0,-,-,-,-,-,-,2.43,2.01,5.45,8.14,3.79,6.16,-,2.17,Debt : Short Duration,Nil
Aditya Birla SL Small Cap Fund(G),Kunal Sangoi,EQ-SML,1,2549.6,1.9,Open Ended,31-May-07,Nifty Smallcap 100 - TRI,42.45,44.43,20.95,-2.8,10.87,41.37,97.81,9.16,0.74,11.17,13.38,58,74,8290,1.87,24.98,71.87,Financials,-,-,-,42.08,3.76,6.44,0.67,20.15,Equity : Small Cap,1% on or before 365D Nil after 365D
Aditya Birla SL Special Opp Fund-Reg(G),Anil Shah,EQ-THEM,Unrated,558.9,2.37,Open Ended,23-Oct-20,S&P BSE 500 - TRI,12.23,12.69,9.97,-2.55,0.33,-,-,-,-,-,-,-,39,93979,61.6,25.5,4.22,Financials,-,-,-,-,-,-,-,-,Equity : Thematic,0.50% on or before 90D Nil after 90D
Aditya Birla SL Tax Plan(G),Ajay Garg,EQ-ELSS,3,516.5,2.5,Open Ended,3-Oct-06,S&P BSE SENSEX - TRI,46.28,49.14,31.35,-5.11,-0.86,17.13,45.12,7.04,5.36,11.42,12.54,12,39,37390,44.24,39.95,10.2,Financials,-,-,-,3.6,2.4,4.1,0.75,17.09,Equity : Tax Saving (ELSS),Nil
Aditya Birla SL Tax Relief 96(G),Ajay Garg,EQ-ELSS,4,13647.3,1.73,Open Ended,10-Mar-08,S&P BSE 200 - TRI,37.81,40.07,25.66,-4.95,-0.79,17.13,45.31,7.95,6.15,12.11,12.65,10,40,43755,44.43,40.35,9.77,Financials,-,-,-,4.28,2.43,4.18,0.73,16.82,Equity : Tax Saving (ELSS),Nil
Axis All Seasons Debt FOFs-Reg(G),R. Sivakumar,FOF-DOM,Unrated,113,0.52,Open Ended,28-Jan-20,NIFTY Composite Debt Index,11.02,11.02,10.08,0.92,0.76,2.84,9.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.4,3.43,6.22,-,1.88,FoFs : Domestic,Nil for 10% of investment and 1% for remaining investment on or before 12M Nil after 12M
Axis Arbitrage Fund-Reg(G),Viresh Joshi,HY-ARB,2,3022.7,1.06,Open Ended,14-Aug-14,Nifty 50 Arbitrage Index,14.68,14.68,14.18,0.44,1.06,1.74,3.47,4.74,5.06,5.5,-,0,95,116484,58.6,8.31,0.01,Financials,0.33,0.32,3.79,0.5,0.36,0.6,-,1.2,Hybrid : Arbitrage,0.25% on or before 7D Nil after 7D
Axis Banking & PSU Debt Fund-Reg(G),Aditya Pagaria,DT-B&PSU,4,16154.2,0.62,Open Ended,8-Jun-12,NIFTY Banking and PSU Debt Index,2063.76,2063.76,1900.86,0.71,0.59,1.95,8.7,8.72,8.67,8.2,-,0,-,-,-,-,-,-,1.5,1.4,4.72,5.67,4.02,7.47,-,1.42,Debt : Banking & PSU,Nil
